group	names	scores	logfoldchanges	pvals	pvals_adj
4	MMP3	14.421812		3.7730286011665586e-47	1.8865143005832792e-44
4	AEBP1	12.131397		7.201040400657235e-34	2.880416160262894e-31
4	POSTN	11.37995		5.262990427479144e-30	1.754330142493048e-27
4	MT1A	9.534374		1.5079200013485235e-21	4.3083428609957814e-19
4	WIF1	9.391715		5.903085355552004e-21	1.475771338888001e-18
4	PLPP3	7.0584626		1.6835490385037357e-12	3.7412200855638574e-10
4	ETS1	6.2938175		3.0975174209954925e-10	6.195034841990985e-08
5	CD83	32.040276		2.999090660461862e-225	5.998181320923724e-222
5	RNASE1	11.623489		3.1308316493170293e-31	3.130831649317029e-28
5	FTL	10.54004		5.647469843456197e-26	3.764979895637464e-23
5	FGFBP2	9.136711		6.438033657557749e-20	3.2190168287788744e-17
5	HRCT1	7.9391255		2.0361124689279264e-15	8.144449875711705e-13
5	APOE	5.5659213		2.607710764108422e-08	8.692369213694739e-06
5	KRTDAP	5.2069674		1.9195186673192515e-07	5.484339049483576e-05
5	COL2A1	3.8140671		0.0001366982847873618	0.034174571196840454
5	LIMD2	3.5753305		0.0003497856301727354	0.07773014003838566
5	SPRR2A	2.4317415		0.015026432304595974	0.9997579514365272
6	TCN1	26.115343		2.4410236574581912e-150	4.8820473149163824e-147
6	OPRPN	23.189875		5.761020289705379e-119	5.761020289705379e-116
6	ETS1	13.458841		2.731665614932171e-41	1.8211104099547805e-38
6	RGCC	11.262985		1.9987191936817277e-29	9.993595968408638e-27
6	CSN3	10.513855		7.458157678783002e-26	2.983263071513201e-23
6	LALBA	9.868936		5.676401323809996e-23	1.892133774603332e-20
6	ADAMTS9	7.8513927		4.1144287758102946e-15	1.1755510788029412e-12
6	CSN1S1	7.693773		1.428585163232485e-14	3.5714629080812128e-12
6	APOE	7.6604285		1.8531381274308105e-14	4.118084727624023e-12
6	AKR1C1	7.436405		1.0346219665119316e-13	2.0692439330238632e-11
7	IGLC2	27.469133		4.1054253608460674e-166	8.210850721692134e-163
7	IGHA1	18.256044		1.8523298722840566e-74	1.8523298722840566e-71
7	IGLC3	13.314589		1.904185790937734e-40	1.2694571939584894e-37
7	IGHM	9.821633		9.085897258531625e-23	4.542948629265812e-20
7	CCL3L1	6.96237		3.3459604833360066e-12	1.1153201611120022e-09
7	FTL	5.9949274		2.0357655710409053e-09	5.816473060116872e-07
7	MNX1	5.2578673		1.4573543033651793e-07	3.2385651185892876e-05
7	TDO2	3.158004		0.001588534004433973	0.24438984683599588
7	COL1A1	3.0311818		0.0024359852534452577	0.32479803379270106
7	CCL4L2	1.916756		0.055268934636872664	0.9998898323513162
8	PLPP3	49.93243		0.0	0.0
8	CCL22	10.381625		3.0061476458463507e-25	2.0040984305642338e-22
8	CREM	4.548427		5.404838072932811e-06	0.0022727590553889123
8	MMP3	3.4782887		0.0005046263090666356	0.14417894544761015
8	FAM237B	1.5840622		0.11317955707787788	0.9998735242645989
8	SERPING1	1.4950225		0.13490854691083523	0.9998735242645989
8	AKR1C1	0.7486481		0.45406934387986486	0.9998735242645989
8	PSG9	0.7364876		0.4614339860205914	0.9998735242645989
8	LMOD3	0.4486358		0.6536944140273168	0.9998735242645989
